author,text,time,votes,cid
@밍먀,솔직히 잘 모르겠어요. 인생의 희망이 없다고 생각이 들면 저런 우울한 감정이 드는거 같기도 하고요. 쓰임새가 없다고 생각이 들면 우울해지는거 같기도 하고요. 왜 우울할까요? 저는 사랑받지 못한다는 생각에 많이 우울하고 공허했던거 같기는 해요. 약에 의지 많이 했어요. 그래도 무족건적인 사랑을 받아보고 싶었어요. 그래서 반려동물을 엄청 키우고 싶더라고요. 형편이 그리 좋지 않음에도 불구하고요. 그러다 결국 현실적인 문제때문에 실패~_~.. 그렇지만 지금은 많이 좋아진듯 합니다. 결국 나를 사랑하고 나를 가꾸는게 중요한거 같더라고요. 전에 삶은 너무 타인 중심적인 삶이었고 사랑하는만큼 얻지도 못하는 삶이었던거 같아요. 찐한 따뜻한 사람을 바래왔는데 아직도 좀 공허하지만 그래도 좀 받아서 누그러진 걸까요.. 누가 저를 좀 받아주고 응석도 좀 부리고 저를 좋아해주는걸 표현을 해주니 나아지더라고요. 우울은 결핍에서 오는 것인가~_~ 잘 모르겠고 앞으로도 잘 모르겠지만 얼렁뚝딱인 인생 좀 더 연명해 봐야겠어요. 솔직히 미래에 대한 여한은 없지만 조금만 더 살아볼게요. 당장 내일 죽어도 후회없는 삶인데 말이죠. 인생에 미련도 없는삶~_~ 갑자기 이글을 쓰면서 생각해보니 더이상 미련없는 삶이 또 살기 싫어지기도 하네요.. 고생 창창한 삶이란..ㅠㅜ 미래도 없고 희망도 크지 않는 그저그런 삶인데 왜이리 살아야 하는 것인지. 저희 아빠는 그래도 굴러도 이승에서 구르는 삶이 낫더라는데 ㅡㅡ 잘 모르겠어요. 좀 무리해서라도 반려동물을 델꼬올까 싶기도 하고요. 삶의 미련을 만드는거죠. 저를 엄청 사랑해줄꺼 같기는 한데.. 그럼 어캐 여기를 떠나겠어요. 그친구를 위해서 살아가는거죠. 그럼 못떠나고 고생시작이기는 한데.. 에효 인생을 모르겠네요. 걍 의식의 흐름대로 적어봤어요..,6시간 전,0,UgxTXgKlCCedlX4XxCp4AaABAg
@그저편안함2,"진짜 우울증보고 아무렇지않게,
의지가 약하다는둥,게을러서 그렇다는둥..
쉽게만 이야기하는 사람들 제발,
똑같이 당해봐야 알지❗️",7시간 전(수정됨),1,UgxJ0BeFENMSUzs0bCV4AaABAg
@희신-e5,"나가서 일을하고 사회에서 부딪혀야지 집에 처박혀 있으니깐 우울하지 
목표가 없으니깐 공허함부터 시작하는거지",7시간 전,0,UgxX5ofnNScB79avubZ4AaABAg
@_ordinarylife,"아직도 우울증에 걸린 사람들이 저럴거라고 생각하는군요.
세상 힘든 표정으로 우두커니 앉아 금방이라도 눈물을 쏟아낼것 같은 사람으로 연출한것이 ...
어금니 꽉 깨물며 아침에 일어나 지끈거리는 머리를 휘휘 몇번 돌리고 겨우 샤워하고 밖으로 나와도 감옥처럼 느껴지는 이 세상,
커다란 수조 안에 던져진 어떤 생물 마냥 숨을 꾹 참고 지옥철에 몸울 우겨넣는 사람들중에도 우울증에 걸린 사람들이 있어요.
점심시간, 주변 동료들과 이런저런 이야기도 하며 점심을 꾸역꾸역 먹고 있지만 머릿속에는 정리되지 않는 불쾌한 감정들,
건너편에 앉아 시시한 이야길 해대며 웃는 동료, 이 사람은 뭐가 좋아 이렇게 웃고있냐 싶다가도 아 - 나도 마찬가지지 뭐.
집에와서 꾹꾹 참았던 모든것을 쏟아내듯이 울기도 해보지만 바뀌는것 없는 사람.
핸드폰을 안봐야 잠을 잘거라는 전문가들의 이야기에 10시쯤 거실에 핸드폰을 두고 껌껌한 방에 누워있다보면 새벽 3시쯤 잠듦. 
어둠속에서 이런저런 생각들이 내 머릿속에서 뒤엉켜 돌아다닌다, 혼자니까 울어도 되겠지, 울면서 잠드는 사람.
일어나서 샤워하고 밖으로 나왔지만, 여긴 물로 가득 차 있는 거대한 수조. 
그 안에서 하염없이 방황하고 틀리고 무안당하고 외면하는 그런 사람.
일상에 던져져서 이리뒹굴고 저리뒹구는, 어딘가 찜찜한 미소를 지으며 괜찮다는 말을 하는 사람들, 
그저 나뒹굴고있는 그런 사람들. 
그런 사람들이야 말로 진짜 우울에 잠긴 사람들입니다. 

그게 생활이라 벗어날수도없고, 그게 현실이라 그 현실을 포기하는것 말고는 방법이 없는 사람들.
우울증이라는것이 누군가의 도움으로 해결될수있을까? 
태어난 유전자에서부터 우울의 유전자는 결정된다고 본다.
미리 대비하며 살아야하는거 아닐까? 그런걸 좀 알려줘. 

내가 우울하다 말하면 남에게 내 우울한 그 '뭔가'가  그 사람에게 전염될까봐 ...
사는동안 한번을 내 속내를 내비친적이 없었는데.
내 우울이 그 사람들에게 옮을까봐.

>> 내가 우울증을 인정하고 받아들이기위해  애썼던 방법을 적어봅니다.

>> 일기쓰기 !

가장 효과적이라고 봅니다. 곧 죽을것같을때, 숨이 막힐때 가장 비싼 만년필을 들고 
내 우울의 나날들을 적어보세요. 불특정 다수를 향한 욕설을 적어보세요. 
그리고 두번다시 읽지마세요. 조금 우울한날이거나, 혹시 기쁜날엔 일기를 쓰지 마세요. 
최악의 날에만 일기를 쓰세요, 
최악의 날로만 이뤄진 일기장들을 보유한 사람이 될 수 있습니다. 
그 최악의 날들을 조금씩 줄여보는걸로 목표를 정하는게 좋아요.
저의 일기장은 2022년 이후 거의 비어있어요, 다행입니다.
그 해 에는 우리 아기가 태어났습니다.",7시간 전,0,UgxwHFKPTQ6Mzeo0C6J4AaABAg
@forthkim8130,우울증은 없는거 아님?,7시간 전,0,UgyudOdnJH10Zuckdih4AaABAg
@ann902__,"방송에서도 봤으면 좋겠네요.
유니콘남편이어도 현실에서는 없을 수도 있겠지만 자꾸 보다보면 
몇번보다보면 맘이 좀 나아질 것 같아요..
부부싸움이나 이혼에 관한  프로그램이
어느면으로는 의식적으로라도 저런사람은 만나지말아야지..나라도 저러지말아야지..
싶은 마음이 생기기도하더군요.
부부나 육아에 대한 부정적인 프로그램보다
꿈같더라도 현실엔 좀 없을거같아도 
좀 더 희망적인 이런 영상도 보고싶네요.",7시간 전,0,UgyNFVCUA3_GCG1zKuN4AaABAg
@폴로-w1b,세상에 희망이 없으니까 우울증에 걸리는 사람들이 많아지는거다. 50억 받은 사람은 무죄때리고 2천원 가져간 사람은 유죄 때리는 세상인데 서민들이 무슨 희망이 있을까. 돈이든 권력이든 가진 사람들은 우울증 환자 없다. 다들 서민들이 우울할 뿐이지. 도람프도 우리나라 우울증에 한몫하고 있다.,7시간 전,0,UgyoafK9NLHxz9kgCJ94AaABAg
@YOUBONG2,남자배우 이름 아시는분 ~,7시간 전,0,UgzPcXWo8zxJgpHRRgd4AaABAg
@태태-l2i,나도 저런 배우자가 되어야지 무슨 일이 있어도 내 짝의 편이 되어주기,8시간 전,5,Ugy0RJ1t5JUMgbA8NaR4AaABAg
@iliill11lil1li,남자가 2.5배 더많이 죽음,8시간 전,0,Ugydj6BrvM6GeMRq2Ol4AaABAg
@wooyun1978,실제로 저런남편 없어요..우울증과 공황장애로 약을 최대치로 먹고있는데 약을 끈으랍니다..약을 너무 의지한다고..그말듣고 뒤돌아서서 얼마나 울었는지 모릅니다..약 끈고 산책하고 하고싶은거하면 나아진다고그러네요..선생님이 그럽니다 큰병걸려서 고통스러워하는거를 안걸린사람은 그고통은 모른다고..열심이 운동하고 약먹고 혼자 열심이 이겨내고 있습니다..누가못알아준다고 섭섭해말고 혼자서라도 다들 이겨내봅시다~!,9시간 전,0,Ugw-sSZQr3BL3vS-HBF4AaABAg
@yangmj126,"하... 우울증 n년째 앓고 있습니다. 맨날 저런 텐션은 아니에요. 오히려 약을 너무 많이 먹으면 저렇게 차분하게 무표정한거 같아요. 약 적당히 조절하니까 그냥저냥 살만해요. 날 위해서 조금은 이기적으로 살기도 하고요. 의사를 잘 만나는 것도 중요한 거 같아요. 약 받으러 갈 때 마다 ""맞아요. 힘들 수 밖에 없지요. 당연히 힘든거에요. 약 잘 드시고 한 달 잘 지내고 오세요."" 하는데 그게 그렇게 위로가 되더라고요.",10시간 전,1,Ugw0z_24--dqhlyHlXZ4AaABAg
@정글숲-d9n,일하라! 바쁘면 우울증 올 틈도 없다,11시간 전,0,Ugwe0VB0mEJZap10QZp4AaABAg
@하쿠-z1g,"나도 가정을 이루고 내새끼 키우면서
힘든것보다 좋은날이 많은 그런 행복한 삶을 꿈꿨지만 어느날 문뜩 내생활에지쳐 모든걸 내려 놓고 싶었지만 
내일에 내가 두려워 그냥 저냥 버티면서살고 있다 가족을 만들고 아이들을 위해 버텨야 하지만 내가 혹시나 무너져 버릴까 그게 더 두렵다 내일에 하루가 두렵고 오지 말았으면 좋겠다",11시간 전,0,UgxhTZo3KH-KSnEay194AaABAg
@davidgong2511,"저런 남편 꽤 많습니다.
늪에빠지면 눈에 안보이는것뿐",12시간 전,2,UgxbcBZjTuzGohfhGmt4AaABAg
@byg6237,"정부 영상이 이럴수도 있구나 싶습니다… 감사해요. 
격어본 사람은 아는 순간순간의 그 느낌… 그대로네요 정말",12시간 전,0,UgydAtWX0XM4eRW3dG94AaABAg
@쿠웨이트박-c8w,"어디선가 이런 글을 본적이 있다. 모두가 해당되는건 아니지만, 우울증이 오면 대부분의 여성은 겉으로 들어 내고 치료을 받는 반면 남성은 속으로 숨긴다고. 그래서 남성 우울증이 더 위험할수도 있다고... 그렇다고 여성 우울증이 위험하지 않다는건 아님니다.
힘들고 즐거운 일은 없겠지만, 항상 좋은 생각만 합시다...",12시간 전,0,UgyTpRz3MkRi-BiDLjJ4AaABAg
@김성복-h2f,우을증은 넘 무서워요,15시간 전,0,UgxqB59oFSTEw50RIAd4AaABAg
@shiwhang,"6백만이 넘는 조회 수가 놀랍다… 세계적으로 높은 자살률, 명랑한 아이들을 보기 힘든 사회… 우울증을 만드는 사회… 지하철을 탈 때마다 마주치는 무표정한 사람들…….",18시간 전,0,UgyUT4Y1NNL2Q-QEVtR4AaABAg
@hanbokhanji0222,"숏드라마 보다가 여기까지 다 보았습니다.
참 잘만들었네요.
스스로 반성이 되고 가족, 주변에 잘 해야겠다는 생각이 듭니다.",21시간 전,0,Ugyx4890N_-APtAkKAp4AaABAg
@유형제-j1o,"영상을 보며 많은 생각이 드네요. 평범한 일상에 감사함을 느낍니다. 
앞으로 아내에게 더 잘해야겠어요.",21시간 전,0,UgyxodyVhRkZE9Fokz14AaABAg
@superegouv,"""저런거 집에 들어오면 우환생긴디"" 라는 말 진짜 너무 혐오스러웠는데 살다보니 옛날 데이터라도 빅데이터였더라고요 참 안타까워요 제가 사람 보는 눈이 없느거 겠죠",23시간 전,0,Ugyy8MmTc25buUqJs9p4AaABAg
@천하장사-g4u,남편들도 우울증이 올수 있습니다...,23시간 전,0,UgzpLowjlsJQ4IHZKqh4AaABAg
@icube2012,츠레가 우울증에 걸려서(2011)... 자꾸 떠오르네요.,1일 전,0,Ugx2FDtJgbyFVxqC2AB4AaABAg
@hojumoney0915,이런남편이 흔하면 이런 영상이 안 나왔겠지,1일 전,0,Ugwn6fhODZenX1rPkht4AaABAg
@박방원,공황장애로 10여년을 힘들어 했습니다. 약을 처방 받아도 먹지를 않고 버텼는데 그런데 지금은 아무문제 없습니다.  정신적인 문제는 근원이 해결되면 나아지는것 같습니다. 그러니 속에 감추지마시고 주위에 이야기 많이 하시고 마음 풀어놓으십시요,1일 전,1,Ugwp9NGTLs4b4nTqo0V4AaABAg
@가리봉-g5q,잘봣습니다.,1일 전,0,UgyAY_qM5WLcZxLwbM54AaABAg
@o_o...1,미안해 내가 우울해서,1일 전,0,UgysDNgt4lK18sAaZxd4AaABAg
@runhoppy5759,이렇게 공감하는 분이 많다니,1일 전,0,Ugy1GO7oF3uvVpO1S0R4AaABAg
@changhya3865,"여보 나도 사실 많이 힘들어…
그러나 포기하지 않을테니
너도 끝까지 포기하지 말아줘
사랑해",1일 전,15,Ugx9FXtwXjLCT6EnQhl4AaABAg
@Jintaeks,결국은 극복하지 못한 분들이 더 많이 계실거에요. 그래도 괜찮다고 말씀드리고 싶어요. 우울증 걸린 분의 잘못이 아니에요. 노력 하신 당신 잘못도 아닙니다. 다시 만나실거에요. 그러니 잘 견뎌내 주시고 살아 주세요.,1일 전,0,Ugyh_alSNjwXXxbz7I94AaABAg
@국밥-t5w,"나이쳐먹고 퇴근하면 집에 혼자 남아 어두운 방에서 유튜브나 보는 나는 누구한테 기대야 하냐. 이사갈 곳도 마땅히 없어 저렴한 옥탑방 외풍 들어오는 차디찬 방구석에 텐트치고 살아가는 나는 무엇으로 위로받아야 하냐.
이 영상을 보니 그 답을 알겠네. 정답은 위로받지 못한다.
하긴 나같은 놈은 '일반적'이지 않으니까. 일반적인 사람들은 저렇게 사랑하는 사람이 있어도 우울하고, 그것을 핑계로 서로 가까워지는 패션우울증들 뿐이니까.
세상이 밉다.",1일 전,1,UgxKEXHiarLCzeUzdlx4AaABAg
@국밥-t5w,"영상은 보고 답글 다냐. 남편도 우울증이잖아. 근데 티나지 않는다고. 우울증은 그런거라고. 겉으로는 괜찮다고 하고 밝게 미소지으며 활발하게 행동하지만 속은 곪아있는게 우울증이라고. 진짜 고작 20분짜리 영상인데 끝까지 안 보는 것만 봐도 니들은 우울증을 극복할 마음이 없는데 느그들이 가진건 그냥 패션우울증 아니냐? ""아 난 너무 우울해 하지만 하루를 살아가. 이런 나는 정말 대단해""이건 우울증이 아니라고.",1일 전,0,Ugz-MVUPZZFXpQ1XhlV4AaABAg
@younglee7914,남자도 우울증 걸리는데.......,1일 전,0,UgySEu7lohz2VZe_Zch4AaABAg
@Turnaround5364,매일 같이 산책만 해줘도 나아질 힘이 생긴다.,1일 전,7,UgzXPGrLLGQ2osknf-t4AaABAg
@엠제이-d1m,"우울증으로 살자한 사람들.. 몇시간전까진 해맑게 지인들한테 연락하고 약속도 정하고 그러죠
그러다 사건 일어나면 주변인들 우울증인줄 꿈에도 몰랐다 시전..",1일 전,0,UgzCHj30G_zg2YefSrx4AaABAg
@엠제이-d1m,원래 희귀하니깐 tv에도 나오고 영화로도 만들어지는 겁니다 넘 감정이입하지 마세요,1일 전(수정됨),0,UgzE-pcos3D98wtTElF4AaABAg
@bysusan,"우울증과 공황장애 불안장애, 번아웃과 스트레스를 동시에 겪고 있습니다. 내가 언제 세상을 떠날지 몰라서 그게 가장 무섭네요.",1일 전,0,Ugzkl786WI-1IBE_4Kp4AaABAg
@cuteanimals2020,보건복지부 응원합니다.,1일 전,4,UgxAi89_G3sYbHf9bE54AaABAg
@장윤형-b3h,"코로나즈음찿아온  우울증과  공황장애는  나 자신을  없어지게 만들더라구요   
힘들다는  말로는  표현이 안됩니다.  ,,,,,,",1일 전,0,Ugw4280OQpWxNOqRBHx4AaABAg
@white7579,"우울증은 솔직히...
치료가 절대 불가능합니다 😰😰",1일 전,0,UgyHzh2akr43bAJ4ovx4AaABAg
@머니뭐니-f3v,좋은 드라마네요. 속얘기를 털어놓을수 있는 동반자가 있어야 우울증을 극복할수 있어요.,1일 전,0,UgzwOenXjBIKA-30YQV4AaABAg
@이명호-y1l,"감사 합니다. 저도 지난 5년간 2번의 우울증이 있었습니다. 지금은 원래데로 돌아 왔습니다만, 최근까지도 남몰래 눈물을 흘리는 시간도 있었지요. 관심과 사랑, 필요 합니다. 아울러, 본인의 의지도 필요한 것 같습니다. 저는 달리기를 하면서, 마음의 병을 극복할 수 있었습니다. 숨이 턱까지 차오를 때 까지 달려 보시길, 권합니다. 물론, 잘 먹고, 햇볕도 받아야 하는데, 그저 그늘에 누워 있기만한 분들에게는, 운동화 끈을 묵는 것도 힘들겠지만, 관심과 사랑으로, 그늘진 곳에서 나오기만 하면 됩니다. 그리고, 달리세요. 해결 됩니다. 인생이 긍정적으로 변해요. 이 드라마 만들어 주신분들께, 감사 드립니다. 참고로, 저는 1968년생 남자 입니다.",1일 전,0,UgyiBI34uTyJqX-xZwp4AaABAg
@wizhyo,우울증이 이렇게 심각한 병인 줄은 몰랐네. 보건복지부 일 잘 한다.,1일 전(수정됨),0,UgxfkAOF42nnVUTXAaV4AaABAg
@anniechung2606,결혼자체가 우울증유발...,1일 전,0,UgyD1Paer2FmmdqLUOd4AaABAg
@김태훈-e3u,우리 엄마도 우울증.. 식물처럼 주변에서 조금이라도 관심을 가져주면 조금씩 좋아지시는 것 같아요.,1일 전,3,UgxuZEnBtlkGoFjJpYJ4AaABAg
@Gm0416good,결론 역시 우울증엔 토마토? 할머니? ㅎ,1일 전,0,Ugyg5WTnXlPPBppby794AaABAg
@읍내남자,혼자야~~?,1일 전,0,Ugwg9-TnhiBV_eQsuvB4AaABAg
@eunhyang75,저런 남편이 현실에 얼마나 있을까요,1일 전,0,Ugw6u1UZhLMAMMBhHwZ4AaABAg
@sukkim3115,"우울증 걸린 자체를 이해못하는 사람들도 있어요 그렇다고 그사람들 욕할것도 아님 
겪어보지 않으면 모르는게 사람이라서",1일 전,0,Ugx1_xZfuoM55Y0AhUp4AaABAg
@LouisRyu1004,"아니! 우울증이면!!!! 병원을 좀 가!!!!!!!
나도 우울증인거 인지하자마자 병원 가서 약타먹고 싹 나았는데, 왜! 병원을! 안 가!!!!?",1일 전,3,Ugy0lFxpb9hfGM6S5pt4AaABAg
@문상기-p8u,남편 역할이 현실고증이 안됐네...,1일 전,0,UgyUTZosxJwHm14OuvN4AaABAg
@hyunyoungj8277,남편이 우울증에 걸렸어요… 도 만들어주세요. 참고로 전 결혼 25년차인 여자.. 아내 입니다.,1일 전,0,Ugz7w2fRZDQwJNHUWKJ4AaABAg
@쩡이-i1k,"울부부의 모습을 보는것 같아 중간에 보다말다했어요 저희남편 정말 고마운 사람이예요 전 우울증에 술까지ᆢ기다려주고 노력해준 남편 덕분에 극복했어요 
여보 고마워 남은생 내가 더 잘할께❤",1일 전(수정됨),4,UgzrY8oQXiXuVOhslvZ4AaABAg
@merongcity123,경계성성격장애도 궁금해요 이걸로 인한 우울 불안 자해 타해 같은 것들도 포함해서요...!!!!,1일 전,0,UgxJr6eqc8lKXouKwZt4AaABAg
@처뤼-f1w,"사람이 무너질때
더 이상 스스로를 사랑하지 않을때

네 탓 아니야 열심히 했고 잘 안된거야 그래서 힘들어서 잠시 쉬는거야 결과가 안좋다고 널 너무 몰아세우거나 미워하지마 네 탓이 아니닌깐 

대신 널 좀 사랑해줘 맛있는걸 먹여주고 
산책도 가고 예전 재미있던 취미도 다시 해보고 새로운 취미도 찾아줘 

그렇게 널 사랑하다가 이제는 지금 상황을 벗어나고 싶거나 누구라도 조금만 널 도와줬으면 할때 다시 사람을 만나는거야 도움 받아도 돼 대신 너도 도움주면 되는거야

잊지마 세상에 스스로를 미워하는것 만큼 힘든게 없어 스스로를 용서해줘
그리고 칭찬해줘 지금까지 잘버텼다고
앞으로도 하루하루 살아보자고 남이 아니라 네가 해줘 매일 

넌 그럴 자격있어",1일 전,0,UgzmbiuGdq_CZjFU-g14AaABAg
@반짝반짝-t6r,누가 조금씩 챙겨주면 나중에는 혼자서도 잘자란다는 꼬마의 말이 와닿네요 주위 힘들어하는 사람이 있으면 웃으며 말한마디 건내보겠습니다,1일 전,10,UgwMY0GJTuBndyZYlfd4AaABAg
@marieoh9397,어떤 남편은 우울증 걸린 아래를 썪게해서 죽였지.,1일 전,0,UgwepUBJnfPujxnJRK94AaABAg
@고양이네멍멍이,ㅋㅋ 우울증은 왜 걸리냐는 남편놈이 현실...,1일 전,1,Ugw3wCk9d88dBKefzVF4AaABAg
@pig-b3m,저런남편있을까 과연...,1일 전,1,UgxeKGh49TLZR2gUuWN4AaABAg
@march.9789,"오동민 배우, 정윤하 배우 연기 너무 좋네요",1일 전,0,UgziaPoKIcNFURhkdg14AaABAg
@mjmjmj1999,"매달 300만원씩 생활비를 줬는데, 돈 한푼 모으지 않고, 퇴근 할 때 마다 우울 하다면서 매일을 치킨을 시켜먹고, 자기가 먹은 그릇, 옷하나 빨지 않고 산더미 처럼 쌓아두고, 밖에서 뼈빠지게 일하고 들어오면 돌아오는 말, 아내 : 너만 힘들어? 나도 힘들어. 그 말을 듣고 새벽에 또 나가 하루종일 일을하고, 내가 무얼 위해서 결혼을 했는지 잊어버리게 됩니다. 삶이 너무 힘드네요... 밥에 김이라도 좋으니, 집에 밥만 있었으면 좋겠습니다. 편의점 음식 토할거 같습니다.",1일 전(수정됨),0,Ugw94jMdXffNquJkr-R4AaABAg
@eunjinyang5136,극복하셨으니 더 행복하게 두분 사셨으면 합니다.,1일 전,0,UgzrY8oQXiXuVOhslvZ4AaABAg.ASwijul3SzYASwwk0j0e-f
@another-choi,"나도 학창시절엔 아버지 때문에 우울감이 엄청 심했고, 너만 힘드냐 모두가 힘들다 이런 소리 듣고 기분 엄청 상했는데

군대 갔다 오고 나서 진짜 모두가 힘들다는걸 깨닫고, 젊은날 5년동안 군생활하고 취업해서 가난에 허덕인 아버지 생각하면 우울감이 싹 사라지더라

진짜 나만 힘든게 아니더라
이걸 누가 알아줘야만 한다라고 생각하는거부터가 민폐더라

내 마음을 내 스스로가 알아주기 시작할때 우울감은 극복할 수 있는듯

그게 안되면 병원 가야지..",1일 전,2,UgwXXkwsC2UHSARJiKF4AaABAg
@user-sarang0511,"우울하다고 했는데 유별나다거나 다그렇다거나, 누구나 다 그렇다고 하지마세요.
그냥 .. 애썼겠네, 아무 생각말고 잊어.. 잘하고있잖아,  라고 해주세요

그뒤로 한참 화도 나고, 생각도 많지만
아까 들은 얘기에 사그러들어요...",1일 전,1,UgzE20yzCI5pWRnJvnd4AaABAg
@helenachoi8501,현실에는 없는 부부,1일 전,1,Ugx2L91XITSLpb1N-ap4AaABAg
@그때는그랬지,"저러고 자살했어요.
아무리 생각해도 난 잘못한게 없는데.
우울증은 병이에오.
스스로 이겨내야해요.
모두 힘네요.",1일 전,0,UgzQlTuKY8SJJeLUcRx4AaABAg
@hysmom1937,저런 남편이면 애초에 우울증에 걸리기 전에 극복될 듯요!,1일 전,0,Ugz8qWN22WwmS_Ngz4N4AaABAg
@mink9819,"아내가 옥상 나가는 장면에서 나였다면 저 옥상에서 전속력으로 달려 떨어지는 상상을 몇 번이고 했을 것 같단 생각이 들었다.
내가 듣고 싶었던 말들을 저기 남편은 다 하고 있어서 감정이 북받쳤다.",1일 전,0,UgzzpBeH3cktZk5LGN14AaABAg
@anna-n2h8p,"전 우울이 있어요 그래서 이런 영상은 피합니다. 
우울 전염되요 밝은 영상 시청하세요",1일 전(수정됨),0,UgwCmOwYVZawxqcz9gZ4AaABAg
@데르데르,근력운동하면 없어져요 우울증은,2일 전,0,UgzBnosgVbaYBCIR0GR4AaABAg
@김영화-i4c,"저런 남자가 있을까요?
우울증 우울증 괜찮다가도
이겨내어도 잔재는 남는데
그래도 끈임없이 혼자 힘든싸움
도려낼수 없는병",2일 전,0,UgwkGK9bkLSgnkTq_Nl4AaABAg
@AdriaBeck,"좋은 홍보 드라마네요. 시리즈로 만들면 좋겠습니다. 
다음번엔 남편, 학생, 연로하신 부모님을 각각 주인공으로 해서. 
우울증은 남녀노소를 불문하고 누구나 걸릴 수 있고 관심과 사랑, 적절한 치료로 이겨낼 수 있다는 점을 알릴 수 있다면 좋을 것 같아요.",2일 전(수정됨),4,Ugzk4ZeU2g9fM_pN-w54AaABAg
@송지은송지은,나도 심각한 우울증인데 우리남편은 내가힘들어도 모른다 집안일에 잔소리만 엄청해댄다 밥하고 애들돌보고 청소하고 심부름하고 아침에 눈뜨는게 힘들다,2일 전,1,UgwPziNY1eiUJc3gzdF4AaABAg
