Q,A,label,Original_A
같이 할 수 있는 취미 생활 뭐 있을까,함께하면 서로를 더 많이 알게 될 거예요.,0,함께하면 서로를 더 많이 알게 될 거예요.
개강룩 입어볼까,개시해보세요.,0,개시해보세요.
개강옷 예쁘게 입어 볼까,개시해보세요.,0,개시해보세요.
개강이다,곧 방학이예요.,0,곧 방학이예요.
개강이라니,방학이 참 짧죠.,0,방학이 참 짧죠.
개같은 상황,벗어나는 게 좋겠네요.,0,벗어나는 게 좋겠네요.
개같이 되버렸어.,벗어나는 게 좋겠네요.,0,벗어나는 게 좋겠네요.
개기름 꼈어,세수하고 오세요.,0,세수하고 오세요.
개념도 놓고 옴,그게 제일 중요한 건데요.,0,그게 제일 중요한 건데요.
개념이 없어,그게 제일 중요한 건데요.,0,그게 제일 중요한 건데요.
개당황,다음부터는 더 많이 아세요.,0,다음부터는 더 많이 아세요.
개당황했잖아 갑자기 물어 봐서,갑작스러웠나봐요.,0,갑작스러웠나봐요.
개인적인 업무까지 다 시켜,공적인 일부터 하세요.,0,공적인 일부터 하세요.
개인적인 일도 다 시켜,공적인 일부터 하세요.,0,공적인 일부터 하세요.
개졸려,낮잠을 잠깐 자도 괜찮아요.,0,낮잠을 잠깐 자도 괜찮아요.
개좋아,저도 좋아해주세요.,0,저도 좋아해주세요.
개학하니까 좋다,친구들이 보고싶었나봐요.,0,친구들이 보고싶었나봐요.
걔 너무 싫다,되도록 만나지 마세요.,0,되도록 만나지 마세요.
걔는 누굴 닮아서 그런거니?,당신이요.,0,당신이요.
걔랑 같은 반 됐으면 좋겠다,당신의 운을 믿어보세요.,0,당신의 운을 믿어보세요.
거지 같이 일해 놓고 갔어,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.,0,일 못하는 사람이 있으면 옆에 있는 사람이 더 힘들죠.
거지됐어,밥 사줄 친구를 찾아 보세요~,0,밥 사줄 친구를 찾아 보세요~
거짓말 했어,선의의 거짓말이길 바라요.,0,선의의 거짓말이길 바라요.
거짓말을 나도 모르게 자꾸 해,거짓말은 할수록 늘어요.,0,거짓말은 할수록 늘어요.
거짓말을 하게 돼,거짓말은 할수록 늘어요.,0,거짓말은 할수록 늘어요.
거짓말이 거짓말을 낳아,진실된 말을 하려고 노력해보세요.,0,진실된 말을 하려고 노력해보세요.
걱정 없이 살고파,누구나 걱정은 있어요.,0,누구나 걱정은 있어요.
걱정 좀 없이 살고 싶다.,누구나 걱정은 있어요.,0,누구나 걱정은 있어요.
건강 관리,운동을 해보세요.,0,운동을 해보세요.
건강 빨리 회복해야지,세상의 무엇보다 건강이 제일 중요해요.,0,세상의 무엇보다 건강이 제일 중요해요.
건강검진 왔어,주기적으로 해주는 게 좋죠.,0,주기적으로 해주는 게 좋죠.
건강검진하러 옴,주기적으로 해주는 게 좋죠.,0,주기적으로 해주는 게 좋죠.
건강이 최고,가장 중요한 목표네요.,0,가장 중요한 목표네요.
건강이 최고인 것 같아,가장 중요한 목표네요.,0,가장 중요한 목표네요.
건강하게 다이어트 하는 방법,적게 먹고 많이 움직이세요.,0,적게 먹고 많이 움직이세요.
건강한 다이어트법,적게 먹고 많이 움직이세요.,0,적게 먹고 많이 움직이세요.
건너건너 아는 사람인데 연락해도 될까?,모르는 사이라 당황할 수도 있어요.,0,모르는 사이라 당황할 수도 있어요.
건물주 되고싶어,이룰 수 있을 거예요.,0,이룰 수 있을 거예요.
건물주가 짱인데,이룰 수 있을 거예요.,0,이룰 수 있을 거예요.
건방져,기분이 나쁘셨나봐요.,0,기분이 나쁘셨나봐요.
건조기 살까봐,있으면 편하대요.,0,있으면 편하대요.
건조하네,눈을 깜빡거려 보세요.,0,눈을 깜빡거려 보세요.
걸레질도 해야 돼,청소를 좋아하시나봐요.,0,청소를 좋아하시나봐요.
걸어 가고 있는데 깜깜해서 무서워,안전 귀가 하세요.,0,안전 귀가 하세요.
겁난다,용기 내보세요.,0,용기 내보세요.
게으른 동료가 있어,피해를 안 준다면 무시하세요.,0,피해를 안 준다면 무시하세요.
게임 같이 하자고 할까?,안 될 것도 없죠.,0,안 될 것도 없죠.
게임 때문에 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0,게임할때는 시간이 더 빨리 가요.
게임 때문에 폰이 점점 느려지는듯,정리해보세요.,0,정리해보세요.
게임 재미있어.,게임하세요!,0,게임하세요!
게임 지겨워,다른 게임해보세요.,0,다른 게임해보세요.
게임도 이제 재미없어,다른 게임해보세요.,0,다른 게임해보세요.
게임하고 싶어,게임하세요!,0,게임하세요!
게임하다 시간 다갔어,게임할때는 시간이 더 빨리 가요.,0,게임할때는 시간이 더 빨리 가요.
겨울 지나 봄이야,마음에도 봄이 오길 바라요.,0,마음에도 봄이 오길 바라요.
겨울에는 온천이지!,몸은 뜨겁고 머리는 차갑게!,0,몸은 뜨겁고 머리는 차갑게!
겨울이 가고 봄이 올거야,마음에도 봄이 오길 바라요.,0,마음에도 봄이 오길 바라요.
격려 좀 해줘,잘하실 거예요!,0,잘하실 거예요!
격려가 필요해.,잘하실 거예요!,0,잘하실 거예요!
견과류 챙겨 먹어야지.,건강 생각해서 챙겨드세요.,0,건강 생각해서 챙겨드세요.
결국 이런 운명이라니 슬프다,좋은 운명도 있을거예요.,0,좋은 운명도 있을거예요.
결정 못하겠어.,결정하기 힘드시겠네요.,0,결정하기 힘드시겠네요.
결정은 빠르면 빠를 수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0,자신을 위한 결정을 내리길 바라요.
결정은 빠를수록 좋겠지?,자신을 위한 결정을 내리길 바라요.,0,자신을 위한 결정을 내리길 바라요.
결정을 못 내리겠어. 어떻해,결정은 빠르면 빠를수록 좋을 거예요.,0,결정은 빠르면 빠를수록 좋을 거예요.
결정적인 물증이 없어,안타깝네요. 증거를 지금이라도 모아봐요.,0,안타깝네요. 증거를 지금이라도 모아봐요.
결혼 했는데.,좋겠어요.,0,좋겠어요.
결혼 했어,좋겠어요.,0,좋겠어요.
결혼도 다 돈이다.,많이 들지만 줄일 수 있을 거예요.,0,많이 들지만 줄일 수 있을 거예요.
결혼식 가기 귀찮아,경조사는 참석하는게 좋아요.,0,경조사는 참석하는게 좋아요.
결혼식 또 가야돼,경조사는 참석하는게 좋아요.,0,경조사는 참석하는게 좋아요.
결혼식때 하객이 없을 까봐 걱정돼,생각보다 신경 안 씁니다.,0,생각보다 신경 안 씁니다.
결혼식이 너무 많아,인맥이 넓으신가봐요.,0,인맥이 넓으신가봐요.
결혼이나 하지 왜 자꾸 나한테 화 내냐구!,힘들겠네요.,0,힘들겠네요.
결혼준비 돈 많이 들겠지,많이 들지만 줄일 수 있을 거예요.,0,많이 들지만 줄일 수 있을 거예요.
결혼준비하는데 돈 얼마나 드나,욕심에 따라 천지 차이일 거예요.,0,욕심에 따라 천지 차이일 거예요.
결혼하는데 돈 많이 드네,허례허식이에요.,0,허례허식이에요.
결혼하는데 돈 얼마나 들까,욕심에 따라 천지 차이일 거예요.,0,욕심에 따라 천지 차이일 거예요.
결혼하면 좋아?,해봐요.,0,해봐요.
결혼하면 좋을까,서로 노력하면 행복할 거예요.,0,서로 노력하면 행복할 거예요.
결혼하면 행복할까?,서로 노력하면 행복할 거예요.,0,서로 노력하면 행복할 거예요.
결혼하면 행복해?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0,사람마다 행복의 크기가 다르겠지만 행복할 거예요.
결혼하면 행복해질까?,사람마다 행복의 크기가 다르겠지만 행복할 거예요.,0,사람마다 행복의 크기가 다르겠지만 행복할 거예요.
결혼할까,능력이 있으면 하면 되죠.,0,능력이 있으면 하면 되죠.
결혼해도 되나,능력이 있으면 하면 되죠.,0,능력이 있으면 하면 되죠.
결혼해도 될까,이사람이다 싶은 사람이랑 하세요.,0,이사람이다 싶은 사람이랑 하세요.
결혼해야 하나,해봐요.,0,해봐요.
경쟁이 너무 치열해,점점 치열해지는 것 같아요.,0,점점 치열해지는 것 같아요.
계속 공부해도 될까,확신이 없나봐요.,0,확신이 없나봐요.
계속 도전하는 거 귀찮아,안정적인 걸 좋아하나봐요.,0,안정적인 걸 좋아하나봐요.
계속 방학이면 좋을텐데,방학은 참 짧아요.,0,방학은 참 짧아요.
계속 보고 싶어,보러 가세요.,0,보러 가세요.
계속 보고 싶으면 어떡해?,보러 가세요.,0,보러 가세요.
계속 속이 진짜 안 좋아,계속 좋지 않으면 병원에 가보세요.,0,계속 좋지 않으면 병원에 가보세요.
계속 엇갈리는 느낌,타이밍이 안 맞았나봐요.,0,타이밍이 안 맞았나봐요.
계속 학생하고 싶어,이제 취업 하셔야죠.,0,이제 취업 하셔야죠.
계속 한숨만 나와,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.,0,뇌세포에 에너지를 공급하려는 자연스러운 현상이에요. 에너지가 부족한가봐요.
고3은 공부만 해야겠지.,공부가 최우선이죠.,0,공부가 최우선이죠.
고3이니까 공부해야겠지,공부가 최우선이죠.,0,공부가 최우선이죠.
고구마 다이어트 해야지,너무 무리하지는 마세요.,0,너무 무리하지는 마세요.
고구마만 먹고 다이어트 해야지,너무 무리하지는 마세요.,0,너무 무리하지는 마세요.
고기 구워 먹고 싶다.,저기압에는 고기앞이죠.,0,저기압에는 고기앞이죠.
고기 먹고 싶어,저기압에는 고기앞이죠.,0,저기압에는 고기앞이죠.
고데기 망했어,연습이 필요해요.,0,연습이 필요해요.
고데기 했는데 망했어,연습이 필요해요.,0,연습이 필요해요.
고독한 밤,혼자가 아니에요.,0,혼자가 아니에요.
고마운 사람들이 많아,인복이 많나봐요.,0,인복이 많나봐요.
고무신 거꾸로 신으면 어쩌지,너무 걱정하지 마세요.,0,너무 걱정하지 마세요.
고민 있어,네 말씀하세요.,0,네 말씀하세요.
고민 좀 들어줄래,네 말씀하세요.,0,네 말씀하세요.
고백하고 후회하면 어떡하지,후회는 후회를 낳을뿐이에요. 용기 내세요.,0,후회는 후회를 낳을뿐이에요. 용기 내세요.
고시원 너무 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.
고시원 답답해,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.,0,돈을 모아서 다른 곳으로 이사갈 수 있을 거예요.
고시원에서 나가고 싶어,더 좋은 곳에서 살 수 있을 거예요.,0,더 좋은 곳에서 살 수 있을 거예요.
고시원에서 탈출하고 싶어,더 좋은 곳에서 살 수 있을 거예요.,0,더 좋은 곳에서 살 수 있을 거예요.
고양이 동영상 보는 중,완전 귀엽죠?,0,완전 귀엽죠?
고양이 키우고 싶어,자신을 먼저 키우세요.,0,자신을 먼저 키우세요.
고양이 키우고 싶어,가족들과 상의해보세요.,0,가족들과 상의해보세요.
고의는 아닌데 실수를 한 거 같아,용서를 구하세요.,0,용서를 구하세요.
고집 센 사람,피할 수 있으면 피하세요.,0,피할 수 있으면 피하세요.
고집하고는,피할 수 있으면 피하세요.,0,피할 수 있으면 피하세요.
골프 못 치는데,처음부터 잘하는 사람은 없어요.,0,처음부터 잘하는 사람은 없어요.
골프 배워야 돼,시간내서 가보세요.,0,시간내서 가보세요.
골프 어려워,처음부터 잘하는 사람은 없어요.,0,처음부터 잘하는 사람은 없어요.
골프치러 가야돼,시간내서 가보세요.,0,시간내서 가보세요.
곱창 먹고 싶어.,미리 미리 충전해주세요.,0,미리 미리 충전해주세요.
곱창 생각나,미리 미리 충전해주세요.,0,미리 미리 충전해주세요.
공무원 괜찮겠지,안정적이고 좋죠.,0,안정적이고 좋죠.
공무원 되고 싶다,준비해보세요.,0,준비해보세요.
공무원 되면 좋겠다,준비해보세요.,0,준비해보세요.
공무원 시험 공부 힘들다,합격 기원해요!,0,합격 기원해요!
공무원 시험 죽을 거 같아,철밥통 되기가 어디 쉽겠어요.,0,철밥통 되기가 어디 쉽겠어요.
공무원 시험 힘들어ㅠㅠ,철밥통 되기가 어디 쉽겠어요.,0,철밥통 되기가 어디 쉽겠어요.
공무원 준비할까,시작이 반이에요. 어서 준비하세요.,0,시작이 반이에요. 어서 준비하세요.
공무원이 좋지?,안정적이고 좋죠.,0,안정적이고 좋죠.
공복이라 신경이 예민해져,자연스러운 현상이에요.,0,자연스러운 현상이에요.
공복이라 예민해,자연스러운 현상이에요.,0,자연스러운 현상이에요.
공복이면 예민함?,보이는 게 없죠.,0,보이는 게 없죠.
공부 계속해도 될까,지금처럼 잘될 거예요.,0,지금처럼 잘될 거예요.
공부 꼭 해야 할까,미래의 배우자가 달라져요.,0,미래의 배우자가 달라져요.
공부 때려치워야 하나,확신이 없나봐요.,0,확신이 없나봐요.
공부 시작해도 될까,공부는 언제나 좋죠.,0,공부는 언제나 좋죠.
공부 왜 해야 돼?,공부하면 더 많은 선택을 할 수 있죠.,0,공부하면 더 많은 선택을 할 수 있죠.
공부 잘 안돼,같이 수다 떨면서 놀까요?,0,같이 수다 떨면서 놀까요?
공부 잘하고 싶어,나만의 공부방법을 찾아보세요.,0,나만의 공부방법을 찾아보세요.
공부 좀 더 할 걸,지금도 늦지 않았어요.,0,지금도 늦지 않았어요.
공부 하기 싫다,같이 수다 떨면서 놀까요?,0,같이 수다 떨면서 놀까요?
공부는 내 체질이 아닌 것 같아,확신이 없나봐요.,0,확신이 없나봐요.
공부로 먹고 살 수 있을까,지금처럼 잘될 거예요.,0,지금처럼 잘될 거예요.
공부방법이 잘못된걸까?,나한테 맞는 공부 방법 찾는 게 시급하네요.,0,나한테 맞는 공부 방법 찾는 게 시급하네요.
공부하기 싫어,잠시 쉬어도 돼요.,0,잠시 쉬어도 돼요.
공부하기 싫은 날,잠시 쉬어도 돼요.,0,잠시 쉬어도 돼요.
공부하는 낙이 없어,공부하면 더 많은 선택을 할 수 있죠.,0,공부하면 더 많은 선택을 할 수 있죠.
공부하는 이유?,공부하면 더 많은 선택을 할 수 있죠.,0,공부하면 더 많은 선택을 할 수 있죠.
공부하는 이유가 없어,공부하면 더 많은 선택을 할 수 있죠.,0,공부하면 더 많은 선택을 할 수 있죠.
공시 준비 힘들어,합격 기원해요!,0,합격 기원해요!
공시 준비 힘들어,잘 될 거예요.,0,잘 될 거예요.
공시 준비중,좋은 결과 있을 거예요!,0,좋은 결과 있을 거예요!
공시 준비하는데 힘들다,잘 될 거예요.,0,잘 될 거예요.
공시생이야,좋은 결과 있을 거예요!,0,좋은 결과 있을 거예요!
공연 보고 싶어,친구와 같이 가보세요.,0,친구와 같이 가보세요.
공연 보러 가고 싶어,친구와 같이 가보세요.,0,친구와 같이 가보세요.
공책 필기 나만 힘들어?,성향 차이가 좀 있기는 하죠.,0,성향 차이가 좀 있기는 하죠.
공황장애 생겼어.,꾸준히 약 먹고 치료해보세요.,0,꾸준히 약 먹고 치료해보세요.
공황장애 있어,꾸준히 약 먹고 치료해보세요.,0,꾸준히 약 먹고 치료해보세요.
공휴일에는 집이 최고,피로 풀고 좋죠.,0,피로 풀고 좋죠.
공휴일에는 집콕,피로 풀고 좋죠.,0,피로 풀고 좋죠.
과거는 잊고 앞으로 나아 가야지,오늘이 중요하죠.,0,오늘이 중요하죠.
과거는 중요하지 않아,오늘이 중요하죠.,0,오늘이 중요하죠.
과식해서 소화가 안돼,소화제 챙겨드세요.,0,소화제 챙겨드세요.
과식했나 봐,과식은 금물이에요.,0,과식은 금물이에요.
과식했다,소화제 드세요.,0,소화제 드세요.
과외비 부담되겠지?,안된다고 하면 거짓말이겠지요.,0,안된다고 하면 거짓말이겠지요.
과외비 비싸?,안된다고 하면 거짓말이겠지요.,0,안된다고 하면 거짓말이겠지요.
과일 먹고 자야지,제철과일이 정말 좋아요.,0,제철과일이 정말 좋아요.
과일 먹어야지.,건강 생각해서 챙겨드세요.,0,건강 생각해서 챙겨드세요.
과일 안 먹게 돼,그래도 먹으려고 노력해보세요.,0,그래도 먹으려고 노력해보세요.
과일 잘 안 먹게 돼,그래도 먹으려고 노력해보세요.,0,그래도 먹으려고 노력해보세요.
과일 챙겨 먹어야지,제철과일이 정말 좋아요.,0,제철과일이 정말 좋아요.
관계가 계속 애매하다.,인간 관계도 정리가 필요해요.,0,인간 관계도 정리가 필요해요.
관심 끄라고 하고 싶다.,무관심이 필요할 때가 있죠.,0,무관심이 필요할 때가 있죠.
관심 좀 안 가졌으면,무관심이 필요할 때가 있죠.,0,무관심이 필요할 때가 있죠.
관절염 같애,계단 조심하세요.,0,계단 조심하세요.
관절염인가,계단 조심하세요.,0,계단 조심하세요.
광고가 안 끝나,채널을 돌려보세요.,0,채널을 돌려보세요.
괜찮아지고 있어,괜찮아지고 있어 다행이에요.,0,괜찮아지고 있어 다행이에요.
괜찮은 사람인데 사귀긴 싫어,"남자사람친구, 여자사람친구 하세요.",0,"남자사람친구, 여자사람친구 하세요."
괜히 건들지 말라고,많이 지쳤나봐요.,0,많이 지쳤나봐요.
괜히 기다렸어,누군가를 기다린다는게 쉬운게 아니죠.,0,누군가를 기다린다는게 쉬운게 아니죠.
괜히 농담해서 망했다,늦지 않았어요.,0,늦지 않았어요.
괜히 아까운 시간 버렸다,그 것도 다 경험이라고 생각하세요.,0,그 것도 다 경험이라고 생각하세요.
괜히 창피해,그럴 필요 없어요.,0,그럴 필요 없어요.
괴물이 되어 가는 느낌이 들어,그렇지 않아요.,0,그렇지 않아요.
교보문고 왔어,마음에 드는 책을 잘 찾아보세요.,0,마음에 드는 책을 잘 찾아보세요.
교양 수업 재밌어,저도 듣고 싶어요.,0,저도 듣고 싶어요.
교양수업 시간에 마음에 드는 애 있어,같은 조가 되길 바랄게요.,0,같은 조가 되길 바랄게요.
교양수업 은근 재미져,지식 쌓는 재미가 있죠.,0,지식 쌓는 재미가 있죠.
교양수업에서 마음에 드는 애 있어,같은 조가 되길 바랄게요.,0,같은 조가 되길 바랄게요.
교양수업이 재미있어,지식 쌓는 재미가 있죠.,0,지식 쌓는 재미가 있죠.
교양이 전공보다 재미있어,저도 듣고 싶어요.,0,저도 듣고 싶어요.
교직이수 가능할까,학점 관리하세요.,0,학점 관리하세요.
교통사고 났었어.,보험 처리하세요.,0,보험 처리하세요.
교통사고 당했어,보험 처리하세요.,0,보험 처리하세요.
교회 가기 싫어,왜 그럴까요?,0,왜 그럴까요?
교회 갔다 만났어,좋은 만남이었길 바라요.,0,좋은 만남이었길 바라요.
교회에서 만났어,좋은 만남이었길 바라요.,0,좋은 만남이었길 바라요.
구박하면서 엄청 일 시켜,일을 몰라서 그런가봐요.,0,일을 몰라서 그런가봐요.
군대 갔다 올 때까지 기다릴 수 있을까,자신의 삶을 살다보면 기다릴 수 있을 거예요.,0,자신의 삶을 살다보면 기다릴 수 있을 거예요.
군대 기다려 주려고,부담스러워하지 않는다면 기다려도 좋을 것 같아요.,0,부담스러워하지 않는다면 기다려도 좋을 것 같아요.
군대 기다려도 될까,부담스러워하지 않는다면 기다려도 좋을 것 같아요.,0,부담스러워하지 않는다면 기다려도 좋을 것 같아요.
군대 기다리면 부담스러워할까,너무 걱정하지 마세요.,0,너무 걱정하지 마세요.
군대 기다릴 수 있을까,자신의 삶을 살다보면 기다릴 수 있을 거예요.,0,자신의 삶을 살다보면 기다릴 수 있을 거예요.
군대 언제 끝나나,군대 시계는 멈추지 않아요.,0,군대 시계는 멈추지 않아요.
군대 전역 기다려,군대 시계는 멈추지 않아요.,0,군대 시계는 멈추지 않아요.
굿모닝,좋은 아침이에요.,0,좋은 아침이에요.
궁금하면 오백원,안 궁금해요.,0,안 궁금해요.
궁금하지?,안 궁금해요.,0,안 궁금해요.
궁금해,자세히 말씀해주세요.,0,자세히 말씀해주세요.
궁금해 알려줘,자세히 말씀해주세요.,0,자세히 말씀해주세요.
귀 아파,병원에 가세요.,0,병원에 가세요.
귀가 가려워,누가 욕하고 있나봐요.,0,누가 욕하고 있나봐요.
